City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,75,CA,1537894800,87,62.45,-114.38,42.8,8.05
1,mataura,92,NZ,1537897993,71,-46.19,168.86,41.07,20.76
2,albany,90,US,1537897680,100,42.65,-73.75,57.92,18.34
3,hasaki,75,JP,1537895220,93,35.73,140.83,64.4,10.29
4,bethel,40,US,1537894380,100,60.79,-161.76,37.94,9.17
5,giresun,92,TR,1537898016,100,40.91,38.39,59.34,3.2
6,cabedelo,75,BR,1537894800,62,-6.97,-34.84,84.2,16.11
7,busselton,68,AU,1537898198,100,-33.64,115.35,54.66,6.22
8,kapaa,90,US,1537897320,84,22.08,-159.32,78.08,18.34
9,ushuaia,75,AR,1537894800,56,-54.81,-68.31,41.0,11.41
10,bredasdorp,0,ZA,1537894800,48,-34.53,20.04,64.4,23.04
11,sao desiderio,8,BR,1537898199,23,-12.36,-44.97,95.52,8.68
12,geraldton,90,CA,1537894800,93,49.72,-86.95,42.8,6.93
13,bluff,0,AU,1537898199,84,-23.58,149.07,60.96,7.78
14,cidreira,80,BR,1537898023,89,-30.17,-50.22,68.34,20.31
15,road town,40,VG,1537894800,66,18.42,-64.62,89.6,12.75
16,aken,0,DE,1537896000,53,51.85,12.05,50.0,4.7
17,bathsheba,40,BB,1537894800,74,13.22,-59.52,86.0,21.92
18,hobart,20,AU,1537896600,86,-42.88,147.33,37.4,8.05
19,port alfred,44,ZA,1537898200,95,-33.59,26.89,65.19,13.15
20,uva,92,RU,1537898200,97,56.98,52.19,52.86,11.03
21,kodiak,90,US,1537897980,93,39.95,-94.76,66.02,9.17
22,kavieng,64,PG,1537898201,100,-2.57,150.8,83.91,13.71
23,tasiilaq,20,GL,1537894200,74,65.61,-37.64,37.4,8.05
24,puri,20,ID,1537894800,83,-7.54,112.45,80.6,5.82
25,san patricio,92,PY,1537898202,89,-26.98,-56.83,74.37,5.21
26,cape town,75,ZA,1537894800,72,-33.93,18.42,59.0,20.8
27,tuktoyaktuk,90,CA,1537894800,79,69.44,-133.03,28.4,3.36
28,fazilka,20,IN,1537898202,87,30.41,74.03,73.29,1.3
29,rikitea,88,PF,1537897976,100,-23.12,-134.97,71.58,24.23
30,torbay,75,CA,1537894800,65,47.66,-52.73,44.6,17.22
31,bambous virieux,40,MU,1537894800,73,-20.34,57.76,73.4,12.75
32,thompson,75,CA,1537894800,86,55.74,-97.86,39.2,2.24
33,east london,0,ZA,1537894800,77,-33.02,27.91,62.6,13.87
34,indianola,1,US,1537896900,39,40.24,-100.42,64.22,24.16
